2024-04-08 15:17:25 - INFO - Iteration: 137, Time: 0.01 seconds, Best Distance: 51530.320614729135
2024-04-08 15:17:25 - INFO - Iteration: 138, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 139, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 140, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 141, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 142, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 143, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 144, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 145, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 146, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 147, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 148, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 149, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 150, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 151, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 152, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 153, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 154, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 155, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 156, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 157, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 158, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 159, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 160, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 161, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 162, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 163, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 164, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 165, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 166, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 167, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 168, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 169, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 170, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 171, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 172, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 173, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 174, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 175, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 176, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 177, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 178, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 179, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 180, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 181, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 182, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 183, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 184, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 185, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 186, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 187, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 188, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 189, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 190, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 191, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 192, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 193, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 194, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 195, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 196, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 197, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 198, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 199, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 200, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 201, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 202, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 203, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 204, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 205, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 206, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 207, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 208, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 209, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 210, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 211, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 212, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 213, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 214, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 215, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 216, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 217, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 218, Time: 0.00 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 219, Time: 0.01 seconds, Best Distance: 49377.28452636756
2024-04-08 15:17:25 - INFO - Iteration: 220, Time: 0.01 seconds, Best Distance: 48151.77675690744
2024-04-08 15:17:25 - INFO - Iteration: 221, Time: 0.01 seconds, Best Distance: 48151.77675690744
2024-04-08 15:17:25 - INFO - Iteration: 222, Time: 0.00 seconds, Best Distance: 48151.77675690744
